Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/31/2025,02/02/2025,WHOLEFDS TMC 10207,Groceries,Sale,-27.18,
01/31/2025,02/02/2025,SQ *CORVUS COFFEE ROASTER,Food & Drink,Sale,-12.08,
01/30/2025,02/02/2025,PUDGE BROS PIZZA - DTC,Food & Drink,Sale,-37.00,
01/30/2025,01/31/2025,TARGET.COM  *,Shopping,Sale,-38.26,
01/29/2025,01/30/2025,AMAZON MKTPL*ZC1KD3O91,Shopping,Sale,-46.12,
01/27/2025,01/29/2025,Stampede,Food & Drink,Sale,-10.00,
01/26/2025,01/29/2025,TRADER JOE S #303,Groceries,Sale,-107.56,
01/26/2025,01/29/2025,TST*URBAN EGG - BELLEVIE,Food & Drink,Sale,-43.00,
01/28/2025,01/29/2025,AMAZON MKTPL*Z77U43EC2,Shopping,Sale,-28.65,
01/27/2025,01/29/2025,AMAZON MKTPL*ZC3N47T80,Shopping,Sale,-55.73,
01/27/2025,01/29/2025,FREETAXUSA.COM,Professional Services,Sale,-14.99,
01/25/2025,01/26/2025,Payment Thank You-Mobile,,Payment,903.05,
01/23/2025,01/24/2025,CHEWY.COM,Shopping,Sale,-76.67,
01/23/2025,01/24/2025,Amazon.com*ZG2MH4421,Shopping,Sale,-13.04,
01/22/2025,01/23/2025,Amazon.com*Z54UE6RF1,Shopping,Sale,-80.90,
01/22/2025,01/22/2025,Spotify USA,Bills & Utilities,Sale,-5.99,
01/20/2025,01/22/2025,SJC PEETS B TMP 6631309,Food & Drink,Sale,-4.36,
01/20/2025,01/21/2025,IN-N-OUT SEASIDE,Food & Drink,Sale,-12.84,
01/18/2025,01/19/2025,PAYPAL *STARBUCKS,Food & Drink,Sale,-20.00,
01/17/2025,01/19/2025,TRADER JOE S #204,Groceries,Sale,-49.21,
01/17/2025,01/19/2025,PANDA EXPRESS #3222,Food & Drink,Sale,-11.58,
01/16/2025,01/17/2025,EINSTEIN'S C CONCOURSE,Food & Drink,Sale,-5.50,
01/15/2025,01/16/2025,AMAZON MKTPLACE PMTS,Shopping,Return,22.83,
01/15/2025,01/16/2025,AMAZON MKTPLACE PMTS,Shopping,Return,13.05,
01/15/2025,01/16/2025,DISCOUNT-TIRE-CO COD-13,Automotive,Sale,-16.16,
01/14/2025,01/16/2025,TRADER JOE S #303,Groceries,Sale,-49.24,
01/15/2025,01/16/2025,AMAZON MKTPLACE PMTS,Shopping,Return,23.93,
01/15/2025,01/16/2025,AMAZON MKTPLACE PMTS,Shopping,Return,38.28,
01/14/2025,01/15/2025,CTLP*ADVENTURE PRODUCT,Food & Drink,Sale,-3.00,
01/13/2025,01/15/2025,Stampede,Food & Drink,Sale,-10.00,
01/13/2025,01/15/2025,WASH LAUNDRY MOBILE,Personal,Sale,-15.00,
01/13/2025,01/15/2025,TST*ALOY THAI EATERY - C,Food & Drink,Sale,-23.76,
01/14/2025,01/15/2025,ACE HARDWARE,Home,Sale,-11.20,
01/13/2025,01/14/2025,TARGET.COM  *,Shopping,Sale,-22.10,
01/13/2025,01/14/2025,TARGET.COM  *,Shopping,Sale,-16.36,
01/13/2025,01/14/2025,TARGET.COM  *,Shopping,Sale,-9.49,
01/11/2025,01/13/2025,CATRINAS MEXICAN GRILL,Food & Drink,Sale,-8.00,
01/11/2025,01/12/2025,SQ *THE TABLETOP TAP,Food & Drink,Sale,-26.00,
01/10/2025,01/12/2025,DOLLAR TREE,Shopping,Sale,-6.82,
01/09/2025,01/10/2025,TARGET.COM  *,Shopping,Sale,-80.78,
01/09/2025,01/10/2025,TARGET.COM  *,Shopping,Sale,-5.00,
01/08/2025,01/09/2025,TARGET        00028209,Shopping,Sale,-28.40,
01/08/2025,01/09/2025,NATIONAL WESTERN STOCK SH,Entertainment,Sale,-174.00,
01/06/2025,01/08/2025,Stampede,Food & Drink,Sale,-10.00,
01/06/2025,01/07/2025,PAYPAL *AMC THEATRE,Entertainment,Sale,-4.38,
01/03/2025,01/05/2025,AMAZON MKTPL*ZD7648AO2,Shopping,Sale,-27.56,
01/01/2025,01/02/2025,KING SOOPERS #0100,Groceries,Sale,-120.91,
