Transaction Date,Post Date,Description,Category,Type,Amount,Memo
03/28/2025,03/30/2025,DAVES HOT CHICKEN 1327,Food & Drink,Sale,-14.69,
03/28/2025,03/30/2025,DAVES HOT CHICKEN 1327,Food & Drink,Sale,-34.30,
03/27/2025,03/28/2025,AMAZON MKTPL*TV8I92M53,Shopping,Sale,-11.19,
03/25/2025,03/27/2025,TRADER JOE S #303,Groceries,Sale,-118.43,
03/26/2025,03/27/2025,AMAZON MKTPL*A45548E23,Shopping,Sale,-7.63,
03/25/2025,03/26/2025,AMAZON MKTPL*706PH8U03,Shopping,Sale,-57.19,
03/24/2025,03/26/2025,WASH LAUNDRY MOBILE,Personal,Sale,-40.00,
03/24/2025,03/25/2025,AMAZON MKTPL*WW8Q69BI3,Shopping,Sale,-43.94,
03/22/2025,03/25/2025,GOLDSMITH DISCOUNT LIQUOR,Food & Drink,Sale,-39.95,
03/24/2025,03/25/2025,TARGET.COM  *,Shopping,Sale,-51.49,
03/24/2025,03/25/2025,TARGET.COM  *,Shopping,Sale,-10.00,
03/23/2025,03/24/2025,Payment Thank You-Mobile,,Payment,2021.58,
03/23/2025,03/24/2025,HMART-AURORA,Groceries,Sale,-51.79,
03/21/2025,03/23/2025,SOUTHWES    5262324807254,Travel,Sale,-304.96,
03/22/2025,03/23/2025,SUSHI KATSU 1,Food & Drink,Sale,-87.00,
03/22/2025,03/23/2025,GREENWOOD VILLAGE CAFE,Food & Drink,Sale,-4.50,
03/22/2025,03/23/2025,Spotify USA,Bills & Utilities,Sale,-5.99,
03/20/2025,03/21/2025,TST* WOODS BOSS BREWING C,Food & Drink,Sale,-48.00,
03/20/2025,03/21/2025,SEATTLESWINGDANCECLUB.,Personal,Sale,-265.00,
03/20/2025,03/21/2025,WL *STEAM PURCHASE,Entertainment,Sale,-27.17,
03/18/2025,03/19/2025,Amazon.com*KR0U28DM3,Shopping,Sale,-22.86,
03/18/2025,03/19/2025,AMAZON MKTPL*WB7L21QI3,Shopping,Sale,-9.77,
03/16/2025,03/18/2025,SOUTHWES    5262322980909,Travel,Sale,-236.96,
03/14/2025,03/17/2025,MICRO CENTER #181 RETAIL,Shopping,Return,65.48,
03/13/2025,03/16/2025,MICRO CENTER #181 RETAIL,Shopping,Sale,-65.48,
03/15/2025,03/16/2025,HEIRLOOOM ANTIQUE MALL,Shopping,Sale,-18.36,
03/15/2025,03/16/2025,GAMESTOP #6658,Entertainment,Sale,-10.79,
03/15/2025,03/16/2025,BASKIN #332338,Food & Drink,Sale,-41.79,
03/15/2025,03/16/2025,GAMESTOP #6658,Entertainment,Sale,-289.99,
03/15/2025,03/16/2025,KING SOOPERS #0030,Groceries,Sale,-69.54,
03/15/2025,03/16/2025,WAL-MART #3566,Groceries,Sale,-2.93,
03/14/2025,03/16/2025,DOLLAR TREE,Shopping,Sale,-13.64,
03/13/2025,03/14/2025,Amazon.com*3X0ZH52K3,Shopping,Sale,-43.92,
03/11/2025,03/13/2025,TRADER JOE S #303,Groceries,Sale,-56.41,
03/11/2025,03/12/2025,AMAZON MKTPL*BA33E6UQ3,Shopping,Sale,-7.90,
03/07/2025,03/09/2025,CHIPOTLE 0007,Food & Drink,Sale,-23.38,
03/07/2025,03/09/2025,WHOLEFDS TMC 10207,Groceries,Sale,-9.38,
03/06/2025,03/07/2025,TST* WOODS BOSS BREWING C,Food & Drink,Sale,-25.00,
03/06/2025,03/07/2025,PUDGE BROS PIZZA - DTC,Food & Drink,Sale,-27.00,
03/04/2025,03/06/2025,TRADER JOE S #303,Groceries,Sale,-87.28,
03/04/2025,03/05/2025,ACE HARDWARE,Home,Sale,-10.85,
03/02/2025,03/04/2025,BARNES &amp; NOBLE #2084,Shopping,Sale,-10.90,
03/02/2025,03/04/2025,BJS RESTAURANTS 453,Food & Drink,Sale,-17.00,
03/02/2025,03/03/2025,TST* PROST HIGHLANDS RANC,Food & Drink,Sale,-9.00,
